NIVEL;DESCRIÇÃO ITEM;QUANTIDADE ITEM;COMPRIMENTO;PESO ITEM;CÓDICO ITEM;PROCESSOS;MASCARA ENTRADA;MASCARA SAÍDA;NATUREZA;HASH;LARGURA
1;PAINEL BORDE DE LAJE -BL-32X10;1;;1;;S;301025;301025;3;NEO20260128bcb1;
1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 320MM;1;32 CM;1,2576 KG;3010110350;;;;;;
1.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;0,32;;1;1010030006;;;;;;
1.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";2;7 CM;0,394 KG;3010010491;;;;;;
1.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
1.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 320MM";1;32 CM;0,4352 KG;3010010096;;;;;;
1.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,32;;1;1010020001;;;;;;
2;PAINEL BORDE DE LAJE -BL-29X10;1;;1;;S;301025;301025;3;NEO202601284fcd;
2.1;PERFIL DE ALUMINIO PAINEL DE CICLO 100 X 290MM;1;29 CM;1,1397 KG;;CS F;301031;301031;3;NEO202601283870;10 CM
2.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;0,29;;1;1010030006;;;;;;
2.2;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";2;7 CM;0,394 KG;3010010491;;;;;;
2.2.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
2.3;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 290MM";1;29 CM;0,3944 KG;3010010026;;;;;;
2.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,29;;1;1010020001;;;;;;
3;PAINEL BORDE DE LAJE -BL-240X10;1;;12;;S;301025;301025;3;NEO20260128128b;
3.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 2400MM;1;240 CM;9,432 KG;3010110111;;;;;;
3.1.1;PERFIL DE ALUMÍNIO PAINEL DE CICLO 100 X 6000MM;2,4;;1;1010030006;;;;;;
3.2;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 2400MM";1;240 CM;3,264 KG;3010010003;;;;;;
3.2.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";2,4;;1;1010020001;;;;;;
3.3;"BARRA CHATA DE ALUMÍNIO LISA 3"" X 3/8"" X 70MM";2;7 CM;0,394 KG;3010010491;;;;;;
3.3.1;"BARRA CHATA DE ALUMÍNIO LISA 2"" X 3/8"" X 6000MM";0,07;;1;1010020003;;;;;;
4;COMPLEMENTO DE ALTURA-CA-65X20X10;2;;13;;S;301006;301006;3;NEO20260128d2bf;
4.1;CHAPA DE ALUMINIO 5052 H34  #4,00MM 200 X 650MM;2;65 CM;3,8232 KG;;CG C;301014;301014;3;NEO2026012859d3;20 CM
