Nível Estrutura Item ;Descrição Engenharia/Descrição do Insumo;Quantidade Insumo;Classificação da Engenharia;Peso do Insumo;Código da Engenharia/Código Insumo;Abreviatura Operações;Máscara de Entrada do Insumo;Máscara de Saída da Engenharia;NATUREZA;Código do Desenho;Classificação Fiscal
1;EIXO ESCOVA ROTATIVA - TRAÇÃO;1;2;3,8;;MF;301001;301001;;PDF-ECD-37;84369100
1.1;CUBO VARETA;1;2;1,25;;MS JT;301001;301001;;PDF-ECD-38;84369100
1.1.1;FLANGE VARETA - A;2;2;0,47;;CL;301001;301001;;PDF-ECD-39;84369100
1.1.1.1;CHAPA ACO INOX 304 #3,00;0,47;1;0,01;1010010013;;;;;;
1.1.2;PERFIL CUBO - A;8;2;0,039;;SF;301001;301001;;PDF-ECD-40;84369100
1.1.2.1;PERFIL REDONDO INOX Ø 5/16”;0,098;1;0,01;1100020008;;;;;;
1.2;EIXO ESCOVA ROTATIVA - TRAÇÃO - A;1;2;1,42;;SF UT UF;301001;301001;;PDF-ECD-41;84369100
1.2.1;PERFIL REDONDO INOX Ø 7/8”;0,515;;0,01;1100020002;;;;;;
1.3;SUPORTE ESCOVA ROTATIVA - A;2;2;0,168;;SF UT UF;301001;301001;;PDF-ECD-42;84369100
1.3.1;PERFIL REDONDO INOX Ø 2”;0,035;;0,01;1100020007;;;;;;
1.4;PERFIL CHAVETA 6 X 6 X 76;1;2;0,022;;SF UF;301001;301001;;PDF-ECD-43;84369100
1.4.1;PERFIL CHAVETA  INOX 304  6 X 6;0,076;;0,01;1100020026;;;;;;
1.5;PERFIL CHAVETA 6 X 6 X 41;2;2;0,011;;SF UF;301001;301001;;PDF-ECD-44;84369100
1.5.1;PERFIL CHAVETA  INOX 304  6 X 6;0,041;;0,01;1100020026;;;;;;
1.6;PERFIL CHAVETA 6 X 6 X 31;1;2;0,009;;SF UF;301001;301001;;PDF-ECD-45;84369100
1.6.1;PERFIL CHAVETA  INOX 304  6 X 6;0,031;;0,01;1100020026;;;;;;
1.7;ROLAMENTO GYE SUC 20 - 204 INOX;2;;0,01;1090010001;;;;;;
1.8;MANCAL INOX SB 204 FLR;2;;0,01;1090020001;;;;;;
1.9;BICO GRAXEIRO RETO RF - INOX 304 - M6;2;;0,01;1060010004;;;;;;
1.10;PARAFUSO SEM CABEÇA ALLEN - DIN 916 - INOX -  M8 x 8;4;;0,01;1030010962;;;;;;
1.11;ARRUELA LISA INOX - DIN 125 - M5;16;;0,01;1030040077;;;;;;
1.12;PARAFUSO ALLEN C/ CABEÇA - INOX - ISO 4762 -M5 x 20;8;;0,01;1030010239;;;;;;
1.13;PORCA AUTOFRENANTE SEXTAVADA BAIXA - DIN 985 - INOX - M5;8;;0,01;1030060031;;;;;;
